% time	cellId	IMSI	RNTI	rsrp	sinr
2.10521	1	1	1	1.82393e-10	384517
2.10621	1	1	1	1.82509e-10	384763
2.10721	1	1	1	1.82626e-10	385009
2.10821	1	1	1	1.82742e-10	385255
2.10921	1	1	1	1.82859e-10	385501
2.11021	1	1	1	1.82976e-10	385748
2.11121	1	1	1	1.83093e-10	385994
2.11221	1	1	1	1.8321e-10	386241
2.11321	1	1	1	1.83327e-10	386488
2.11421	1	1	1	1.83444e-10	386735
2.11521	1	1	1	1.83562e-10	386982
2.11621	1	1	1	1.83679e-10	387230
2.11721	1	1	1	1.83797e-10	387477
2.11821	1	1	1	1.83914e-10	387725
2.11921	1	1	1	1.84032e-10	387973
2.12021	1	1	1	1.84149e-10	388221
2.12121	1	1	1	1.84267e-10	388469
2.12221	1	1	1	1.84385e-10	388718
2.12321	1	1	1	1.84503e-10	388966
2.12421	1	1	1	1.84621e-10	389215
2.12521	1	1	1	1.84739e-10	389464
2.12621	1	1	1	1.84857e-10	389713
2.12721	1	1	1	1.84976e-10	389963
2.12821	1	1	1	1.85094e-10	390212
2.12921	1	1	1	1.85212e-10	390462
2.13021	1	1	1	1.85331e-10	390712
2.13121	1	1	1	1.85449e-10	390962
2.13221	1	1	1	1.85568e-10	391212
2.13321	1	1	1	1.85687e-10	391462
2.13421	1	1	1	1.85806e-10	391713
2.13521	1	1	1	1.85925e-10	391964
2.13621	1	1	1	1.86044e-10	392215
2.13721	1	1	1	1.86163e-10	392466
2.13821	1	1	1	1.86282e-10	392717
2.13921	1	1	1	1.86401e-10	392968
2.14021	1	1	1	1.86521e-10	393220
2.14121	1	1	1	1.8664e-10	393472
2.14221	1	1	1	1.8676e-10	393724
2.14321	1	1	1	1.86879e-10	393976
2.14421	1	1	1	1.86999e-10	394228
2.14521	1	1	1	1.87119e-10	394481
2.14621	1	1	1	1.87238e-10	394733
2.14721	1	1	1	1.87358e-10	394986
2.14821	1	1	1	1.87478e-10	395239
2.14921	1	1	1	1.87598e-10	395492
2.15021	1	1	1	1.87719e-10	395746
2.15121	1	1	1	1.87839e-10	395999
2.15221	1	1	1	1.87959e-10	396253
2.15321	1	1	1	1.8808e-10	396507
2.15421	1	1	1	1.882e-10	396761
2.15521	1	1	1	1.88321e-10	397015
2.15621	1	1	1	1.88441e-10	397269
2.15721	1	1	1	1.88562e-10	397524
2.15821	1	1	1	1.88683e-10	397779
2.15921	1	1	1	1.88804e-10	398034
2.16021	1	1	1	1.88925e-10	398289
2.16121	1	1	1	1.89046e-10	398544
2.16221	1	1	1	1.89167e-10	398800
2.16321	1	1	1	1.89289e-10	399055
2.16421	1	1	1	1.8941e-10	399311
2.16521	1	1	1	1.89531e-10	399567
2.16621	1	1	1	1.89653e-10	399823
2.16721	1	1	1	1.89774e-10	400080
2.16821	1	1	1	1.89896e-10	400336
